Name,Subtitles,season_episode,ners
waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",1,"[set(), set(), set()]"
will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",1,"[set(), set()]"
waymar royce,How close did you get?,1,[set()]
will,Close as any man would.,1,[set()]
gared,We should head back to the wall.,1,[set()]
royce,Do the dead frighten you?,1,[set()]
gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,1,"[set(), set(), set()]"
royce,You don't think he'll ask us how they died? Get back on your horse.,1,"[set(), set()]"
will,Whatever did it to them could do it to us. They even killed the children.,1,"[set(), set()]"
royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",1,"[set(), set(), set(), set(), set()]"
royce,Your dead men seem to have moved camp.,1,[set()]
will,They were here.,1,[set()]
gared,See where they went.,1,[set()]
royce,What is it?,1,[set()]
gared,It's …,1,[set()]
jon snow,Go on. Father's watching.,1,"[set(), set()]"
jon snow,And your mother.,1,[set()]
septa mordane,"Fine work, as always. Well done.",1,"[set(), set()]"
sansa stark,Thank you.,1,[set()]
septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,1,"[set(), set()]"
eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",1,"[set(), {'bran'}, set()]"
jon snow,"Don't think too much, Bran.",1,[{'bran'}]
robb stark,Relax your bow arm.,1,[set()]
jonrobb,"Quick, Bran, faster!",1,[{'bran'}]
cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,1,"[{'stark'}, set(), set(), set()]"
eddard stark,Get the lads to saddle their horses.,1,[set()]
catelyn stark,Do you have to?,1,[set()]
eddard stark,"He swore an oath, Cat.",1,[{'cat'}]
cassel,"The law is law, my lady.",1,[set()]
eddard stark,"Tell Bran he's coming, too.",1,[{'bran'}]
catelyn stark,Ned. Ten is too young to see such things.,1,"[{'ned'}, set()]"
eddard stark,He won't be a boy forever. And winter is coming.,1,"[set(), set()]"
robb stark,"Lad, go run back and get the rest.",1,[{'lad'}]
